book,day,word,meaning
워드마스터 수능 2000,Day 1,provide,"공급하다, 준비하다"
워드마스터 수능 2000,Day 1,develop,"개발하다, 발달[발전]하다"
워드마스터 수능 2000,Day 1,service,"서비스, 봉사, 공공 업무"
워드마스터 수능 2000,Day 1,inform,"알리다, 통지하다"
워드마스터 수능 2000,Day 1,relationship,관계
워드마스터 수능 2000,Day 1,improve,"향상시키다, 향상하다"
워드마스터 수능 2000,Day 1,individual,"개인, 개인의, 개인적인"
워드마스터 수능 2000,Day 1,require,"필요로 하다, 요구하다"
워드마스터 수능 2000,Day 1,advise,"조언하다, 충고하다"
워드마스터 수능 2000,Day 1,social,"사회의, 사교적인"
워드마스터 수능 2000,Day 1,amount,"총액, 총계, 양, 총계가 ~이 되다"
워드마스터 수능 2000,Day 1,behave,(예의 바르게) 행동하다
워드마스터 수능 2000,Day 1,employ,"고용하다, (기술·방법 등을) 쓰다"
워드마스터 수능 2000,Day 1,attitude,"태도, 입장"
워드마스터 수능 2000,Day 1,research,"연구, 연구하다, 조사하다"
워드마스터 수능 2000,Day 1,audience,"청중, 관객"
워드마스터 수능 2000,Day 1,volunteer,"자원봉사, 지원자, 자원하다"
워드마스터 수능 2000,Day 1,influence,"영향, 영향을 미치는 것[사람], 영향을 끼치다"
워드마스터 수능 2000,Day 1,terrible,"끔찍한, 무서운"
워드마스터 수능 2000,Day 1,opportunity,기회
워드마스터 수능 2000,Day 1,ability,능력
워드마스터 수능 2000,Day 1,expense,"비용, 지출"
워드마스터 수능 2000,Day 1,local,"지방의, 지역의, 장소의"
워드마스터 수능 2000,Day 1,involve,"포함하다, 관련되다, (사건 등에) 말려들게 하다"
워드마스터 수능 2000,Day 1,stress,"스트레스, 강조, 강조하다, 압력을 주다"
워드마스터 수능 2000,Day 1,therefore,"그러므로, 그 결과"
워드마스터 수능 2000,Day 1,positive,"긍정적인, 확신하는"
워드마스터 수능 2000,Day 1,average,"평균, 평균의, 평균 ~이다"
워드마스터 수능 2000,Day 1,ride,"(탈것을) 타다, 타기, 타고가기"
워드마스터 수능 2000,Day 1,encourage,"촉구하다, 격려하다"
워드마스터 수능 2000,Day 1,determine,"결정하다, 결심하다"
워드마스터 수능 2000,Day 1,international,"국제의, 국제적인"
워드마스터 수능 2000,Day 1,consume,"소비하다, 먹다[마시다]"
워드마스터 수능 2000,Day 1,impress,"깊은 인상을 주다, 감동시키다"
워드마스터 수능 2000,Day 1,object,"물체, 목표, 반대하다"
워드마스터 수능 2000,Day 1,available,"이용 가능한, 쓸모 있는"
워드마스터 수능 2000,Day 1,contain,"함유하다, 포함하다, 억제하다"
워드마스터 수능 2000,Day 1,recognize,"인지하다, 인정하다"
워드마스터 수능 2000,Day 1,material,"재료, 물질, 물질의"
워드마스터 수능 2000,Day 1,comfort,"편안하게 하다, 위로하다, 편안, 위로"
워드마스터 수능 2000,Day 2,emotion,감정
워드마스터 수능 2000,Day 2,amaze,놀라게 하다
워드마스터 수능 2000,Day 2,reduce,"줄이다, 낮추다"
워드마스터 수능 2000,Day 2,discover,발견하다
워드마스터 수능 2000,Day 2,decide,"결심하다, 결정하다"
워드마스터 수능 2000,Day 2,benefit,"이익, 이익이 되다"
워드마스터 수능 2000,Day 2,affect,"영향을 미치다, ~인 체하다"
워드마스터 수능 2000,Day 2,level,"수준, 수평, 수평의, 평평하게 하다"
워드마스터 수능 2000,Day 2,chemistry,"화학, 교감(交感)"
워드마스터 수능 2000,Day 2,immediate,"직접의, 즉각적인"
워드마스터 수능 2000,Day 2,thus,"그러므로, 따라서"
워드마스터 수능 2000,Day 2,proper,"적절한, 알맞은"
워드마스터 수능 2000,Day 2,performance,"공연, 성적, 성과"
워드마스터 수능 2000,Day 2,essence,"(사물의) 본질, 정수(精髓)"
워드마스터 수능 2000,Day 2,economic,"경제의, 경제학의"
워드마스터 수능 2000,Day 2,cell,"세포, 작은 방, 독방"
워드마스터 수능 2000,Day 2,focus,"초점, 집중하다"
워드마스터 수능 2000,Day 2,issue,"논란거리, 발행, 발행물, 발행하다"
워드마스터 수능 2000,Day 2,participate,"참여하다, 참가하다 (in)"
워드마스터 수능 2000,Day 2,demand,"요구하다, 수요"
워드마스터 수능 2000,Day 2,occur,"(사건이) 일어나다, 발생하다"
워드마스터 수능 2000,Day 2,complex,"복잡한, 복합체"
워드마스터 수능 2000,Day 2,define,"정의하다, 한계 짓다, 한정하다"
워드마스터 수능 2000,Day 2,proud,"자랑스러워하는, 자만하는"
워드마스터 수능 2000,Day 2,aware,"인지하는, 알고 있는"
워드마스터 수능 2000,Day 2,contact,"접촉, 접촉하다"
워드마스터 수능 2000,Day 2,profession,"직업, 직종"
워드마스터 수능 2000,Day 2,detail,"세부, 상술하다"
워드마스터 수능 2000,Day 2,approach,"접근하다, 접근"
워드마스터 수능 2000,Day 2,career,"직업, 경력"
워드마스터 수능 2000,Day 2,package,"꾸러미, 포장, 포장하다"
워드마스터 수능 2000,Day 2,disappear,사라지다
워드마스터 수능 2000,Day 2,novel,"(장편) 소설, 참신한"
워드마스터 수능 2000,Day 2,secure,"안전한, 안전하게 하다, 확보하다"
워드마스터 수능 2000,Day 2,fashion,"유행, 패션, 방식, 만들어 내다"
워드마스터 수능 2000,Day 2,despite,~에도 불구하고
워드마스터 수능 2000,Day 2,background,"배경, 배경 지식, 이유"
워드마스터 수능 2000,Day 2,solution,"해결, 해결책, 용액"
워드마스터 수능 2000,Day 2,generate,"일으키다, 발생시키다"
워드마스터 수능 2000,Day 2,eventually,결국
워드마스터 수능 2000,Day 3,decrease,"줄다[감소하다], 줄이다, 감소"
워드마스터 수능 2000,Day 3,recycle,재활용하다
워드마스터 수능 2000,Day 3,desire,"욕망, 욕구, 바라다"
워드마스터 수능 2000,Day 3,balance,"균형, 은행 잔고, 균형을 이루다"
워드마스터 수능 2000,Day 3,negative,부정적인
워드마스터 수능 2000,Day 3,follow,"따라가다, (규칙을) 따르다"
워드마스터 수능 2000,Day 3,account,"은행 계좌, 이야기, 설명, 설명하다"
워드마스터 수능 2000,Day 3,publish,"발표하다, 출판하다"
워드마스터 수능 2000,Day 3,occasion,"경우, 특별한 일"
워드마스터 수능 2000,Day 3,replace,대체하다
워드마스터 수능 2000,Day 3,constant,"일정한, 불변의 (수학에서의) 상수"
워드마스터 수능 2000,Day 3,expert,전문가
워드마스터 수능 2000,Day 3,term,"용어, 기간, 학기"
